phase,duration_sec,accesses,lat_min_us,lat_avg_us,lat_max_us,pct_lt1us,pct_1_10us,pct_10_100us,pct_100us_1ms,pct_1_10ms,pct_10_100ms,pct_gt100ms
MRU,54.706689,196608,101.927,278.027,9835.434,0.0000,0.0000,0.0000,99.9166,0.0834,0.0000,0.0000
LRU,0.134456,491520,0.200,0.251,421.034,99.9264,0.0350,0.0372,0.0014,0.0000,0.0000,0.0000
FIFO,10.155180,196608,0.199,51.578,3963.954,74.9471,0.0275,0.0229,24.9985,0.0041,0.0000,0.0000
S3FIFO,13.144142,255816,0.199,51.269,2825.514,72.1460,1.4456,0.0231,26.3830,0.0023,0.0000,0.0000
RANDOM,9.613033,196608,0.209,48.778,3329.794,56.0435,18.8538,0.0259,25.0738,0.0031,0.0000,0.0000
