phase,duration_sec,accesses,lat_min_us,lat_avg_us,lat_max_us,pct_lt1us,pct_1_10us,pct_10_100us,pct_100us_1ms,pct_1_10ms,pct_10_100ms,pct_gt100ms
MRU,58.591529,196608,86.997,297.795,7556.886,0.0000,0.0000,0.0015,99.8922,0.1063,0.0000,0.0000
LRU,0.132719,491520,0.199,0.247,713.130,99.9227,0.0395,0.0362,0.0016,0.0000,0.0000,0.0000
FIFO,10.769358,196608,0.199,54.693,5004.797,74.9420,0.0285,0.0290,24.9954,0.0051,0.0000,0.0000
S3FIFO,12.948435,255816,0.199,50.506,3012.451,72.1468,1.4432,0.0262,26.3822,0.0016,0.0000,0.0000
RANDOM,9.671800,196608,0.210,49.082,4679.980,56.0226,18.8421,0.0621,25.0697,0.0036,0.0000,0.0000
