phase,duration_sec,accesses,lat_min_us,lat_avg_us,lat_max_us,pct_lt1us,pct_1_10us,pct_10_100us,pct_100us_1ms,pct_1_10ms,pct_10_100ms,pct_gt100ms
MRU,55.341021,196608,94.208,281.250,5349.571,0.0000,0.0000,0.0005,99.9308,0.0687,0.0000,0.0000
LRU,0.128638,491520,0.199,0.239,107.837,99.9270,0.0385,0.0344,0.0002,0.0000,0.0000,0.0000
FIFO,9.791923,196608,0.199,49.730,3803.971,74.9420,0.0280,0.0270,25.0000,0.0031,0.0000,0.0000
S3FIFO,12.430335,255816,0.199,48.481,3642.882,72.1366,1.4510,0.0293,26.3787,0.0043,0.0000,0.0000
RANDOM,10.043752,196608,0.209,50.969,6540.480,56.0191,18.8400,0.0697,25.0676,0.0036,0.0000,0.0000
