phase,duration_sec,accesses,lat_min_us,lat_avg_us,lat_max_us,pct_lt1us,pct_1_10us,pct_10_100us,pct_100us_1ms,pct_1_10ms,pct_10_100ms,pct_gt100ms
MRU,56.465062,196608,84.164,286.982,8988.622,0.0000,0.0000,0.0015,99.8876,0.1109,0.0000,0.0000
LRU,0.132348,491520,0.200,0.247,147.792,99.9139,0.0484,0.0368,0.0008,0.0000,0.0000,0.0000
FIFO,9.042050,196608,0.200,45.915,1391.024,74.9476,0.0270,0.0275,24.9964,0.0015,0.0000,0.0000
S3FIFO,12.791666,255816,0.200,49.893,1269.649,72.1409,1.4467,0.0258,26.3826,0.0039,0.0000,0.0000
RANDOM,9.587694,196608,0.210,48.656,1676.156,56.0369,18.8563,0.0371,25.0676,0.0020,0.0000,0.0000
