phase,duration_sec,accesses,lat_min_us,lat_avg_us,lat_max_us,pct_lt1us,pct_1_10us,pct_10_100us,pct_100us_1ms,pct_1_10ms,pct_10_100ms,pct_gt100ms
MRU,56.848079,196608,96.998,288.926,4587.924,0.0000,0.0000,0.0020,99.9130,0.0849,0.0000,0.0000
LRU,0.132551,491520,0.200,0.247,146.728,99.9239,0.0393,0.0362,0.0006,0.0000,0.0000,0.0000
FIFO,10.292663,196608,0.199,52.273,4646.168,74.9262,0.0331,0.0407,24.9944,0.0056,0.0000,0.0000
S3FIFO,14.098457,255816,0.199,54.995,3113.668,72.1394,1.4514,0.0254,26.3787,0.0051,0.0000,0.0000
RANDOM,10.259761,196608,0.209,52.069,1480.364,56.0298,18.8446,0.0549,25.0687,0.0020,0.0000,0.0000
